Program,Year,Period,State,Ag District,Ag District Code,County,County ANSI,Commodity,Data Item,Domain,Value
SURVEY,2023,YEAR,ARKANSAS,,99,OTHER COUNTIES,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,"135,600"
SURVEY,2023,YEAR,ARKANSAS,,99,OTHER COUNTIES,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,179.6
SURVEY,2023,YEAR,ARKANSAS,,99,OTHER COUNTIES,,RICE,RICE - ACRES HARVESTED,TOTAL,"397,840"
SURVEY,2023,YEAR,ARKANSAS,,99,OTHER COUNTIES,,RICE,RICE - ACRES PLANTED,TOTAL,"402,400"
SURVEY,2023,YEAR,ARKANSAS,,99,OTHER COUNTIES,,RICE,"RICE - YIELD, MEASURED IN LB / ACRE",TOTAL,"7,520"
SURVEY,2023,YEAR,ARKANSAS,,99,OTHER COUNTIES,,SOYBEANS,SOYBEANS - ACRES HARVESTED,TOTAL,"447,020"
SURVEY,2023,YEAR,ARKANSAS,,99,OTHER COUNTIES,,SOYBEANS,SOYBEANS - ACRES PLANTED,TOTAL,"451,700"
SURVEY,2023,YEAR,ARKANSAS,,99,OTHER COUNTIES,,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",TOTAL,48.4
SURVEY,2023,YEAR,ARKANSAS,CENTRAL,50,CONWAY,29,SOYBEANS,SOYBEANS - ACRES HARVESTED,TOTAL,"15,300"
SURVEY,2023,YEAR,ARKANSAS,CENTRAL,50,CONWAY,29,SOYBEANS,SOYBEANS - ACRES PLANTED,TOTAL,"15,700"
SURVEY,2023,YEAR,ARKANSAS,CENTRAL,50,CONWAY,29,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",TOTAL,40.9
SURVEY,2023,YEAR,ARKANSAS,CENTRAL,50,PULASKI,119,SOYBEANS,SOYBEANS - ACRES HARVESTED,TOTAL,"18,100"
SURVEY,2023,YEAR,ARKANSAS,CENTRAL,50,PULASKI,119,SOYBEANS,SOYBEANS - ACRES PLANTED,TOTAL,"20,500"
SURVEY,2023,YEAR,ARKANSAS,CENTRAL,50,PULASKI,119,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",TOTAL,38.5
SURVEY,2023,YEAR,ARKANSAS,EAST CENTRAL,60,ARKANSAS,1,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,"56,400"
SURVEY,2023,YEAR,ARKANSAS,EAST CENTRAL,60,ARKANSAS,1,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,184.4
SURVEY,2023,YEAR,ARKANSAS,EAST CENTRAL,60,ARKANSAS,1,RICE,RICE - ACRES HARVESTED,TOTAL,"70,900"
SURVEY,2023,YEAR,ARKANSAS,EAST CENTRAL,60,ARKANSAS,1,RICE,RICE - ACRES PLANTED,TOTAL,"71,100"
SURVEY,2023,YEAR,ARKANSAS,EAST CENTRAL,60,ARKANSAS,1,RICE,"RICE - YIELD, MEASURED IN LB / ACRE",TOTAL,"7,500"
